radius,order_count
5,0
10,0
15,1
20,4
25,8
30,15
35,21
40,31
45,46
50,70
55,97
60,116
65,129
70,146
75,165
80,180
85,194
90,221
95,255
100,298
105,338
110,363
115,396
120,424
125,442
130,472
135,491
140,525
145,543
150,569
155,595
160,618
165,640
170,663
175,687
180,694
185,707
190,723
195,731
200,738
205,746
210,756
215,760
220,765
225,769
230,771
235,778
240,785
245,785
250,786
255,794
260,795
265,796
270,796
275,798
280,798
285,798
290,799
295,799
