id,weight
0,73
1,40
2,84
3,107
4,52
5,36
6,13
7,74
8,36
9,94
10,93
11,46
12,123
13,24
14,100
15,93
16,62
17,49
18,97
19,102
20,80
21,37
22,22
23,25
24,72
25,48
26,40
27,74
28,32
29,31
30,136
31,64
32,99
33,37
34,44
35,36
36,104
37,74
38,112
39,40
40,65
41,67
42,50
43,143
44,23
45,26
46,91
47,20
48,142
49,128
50,9
51,77
52,40
53,26
54,55
55,104
56,59
57,112
58,42
59,69
60,87
61,89
62,2
63,11
64,105
65,43
66,105
67,23
68,21
69,88
70,57
71,40
72,52
73,63
74,35
75,141
76,54
77,27
78,45
79,37
80,21
81,37
82,102
83,38
84,36
85,117
86,57
87,93
88,24
89,52
90,83
91,133
92,51
93,102
94,34
95,52
96,39
97,54
98,64
99,146
100,127
101,100
102,58
103,50
104,49
105,40
106,55
107,123
108,64
109,30
110,127
111,63
112,19
113,59
114,31
115,22
116,68
117,37
118,107
119,68
120,52
121,61
122,35
123,38
124,76
125,44
126,21
127,144
128,21
129,40
130,105
131,48
132,97
133,70
134,74
135,95
136,75
137,28
138,25
139,40
140,81
141,72
142,58
143,99
144,52
145,5
146,72
147,84
148,53
149,21
150,110
151,97
152,30
153,43
154,92
155,109
156,39
157,89
158,51
159,30
160,102
161,94
162,13
163,45
164,93
165,94
166,90
167,104
168,36
169,55
170,92
171,12
172,45
173,126
174,73
175,132
176,118
177,127
178,125
179,26
180,83
181,69
182,49
183,39
184,4
185,63
186,84
187,47
188,75
189,43
190,82
191,43
192,51
193,28
194,118
195,110
196,42
197,2
198,53
199,74
200,54
201,57
202,92
203,23
204,72
205,95
206,76
207,35
208,38
209,100
210,52
211,34
212,58
213,74
214,86
215,25
216,32
217,61
218,39
219,55
220,76
221,68
222,107
223,82
224,97
225,108
226,57
227,38
228,88
229,71
230,22
231,40
232,63
233,37
234,80
235,51
236,52
237,52
238,67
239,101
240,49
241,46
242,100
243,52
244,63
245,36
246,53
247,45
248,51
249,56
250,71
251,50
252,13
253,29
254,18
255,36
256,87
257,86
258,39
259,11
260,148
261,74
262,74
263,121
264,11
265,28
266,65
267,79
268,32
269,85
270,95
271,26
272,43
273,123
274,81
275,78
276,25
277,100
278,27
279,90
280,53
281,60
282,100
283,25
284,72
285,80
286,83
287,40
288,62
289,53
290,40
291,97
292,105
293,56
294,49
295,100
296,36
297,46
298,80
299,8
300,23
301,58
302,78
303,58
304,24
305,78
306,67
307,62
308,85
309,80
310,39
311,34
312,62
313,33
314,58
315,130
316,41
317,34
318,33
319,62
320,129
321,79
322,103
323,104
324,56
325,33
326,118
327,96
328,21
329,18
330,65
331,140
332,87
333,91
334,61
335,54
336,137
337,71
338,84
339,35
340,75
341,32
342,4
343,68
344,37
345,80
346,78
347,91
348,75
349,52
350,74
351,96
352,32
353,85
354,42
355,78
356,119
357,58
358,16
359,44
360,24
361,98
362,121
363,76
364,16
365,56
366,112
367,67
368,58
369,46
370,76
371,45
372,41
373,94
374,55
375,44
376,51
377,136
378,63
379,34
380,86
381,87
382,64
383,54
384,27
385,69
386,31
387,64
388,138
389,56
390,97
391,81
392,40
393,132
394,64
395,114
396,105
397,41
398,52
399,60
400,41
401,67
402,58
403,63
404,64
405,55
406,34
407,66
408,89
409,85
410,94
411,75
412,132
413,15
414,68
415,104
416,61
417,82
418,74
419,56
420,45
421,74
422,100
423,49
424,82
425,104
426,20
427,114
428,85
429,24
430,104
431,79
432,17
433,42
434,30
435,65
436,32
437,103
438,38
439,29
440,39
441,8
442,109
443,31
444,46
445,73
446,39
447,35
448,57
449,66
450,139
451,130
452,40
453,78
454,17
455,59
456,41
457,69
458,72
459,77
460,75
461,71
462,73
463,54
464,83
465,42
466,32
467,63
468,62
469,97
470,96
471,93
472,45
473,125
474,126
475,82
476,126
477,48
478,9
479,55
480,76
481,96
482,26
483,13
484,65
485,36
486,96
487,43
488,29
489,43
490,24
491,29
492,76
493,120
494,85
495,52
496,58
497,121
498,48
499,121
500,25
501,63
502,47
503,34
504,100
505,75
506,68
507,90
508,28
509,20
510,35
511,103
512,30
513,5
514,29
515,39
516,75
517,10
518,38
519,32
520,84
521,85
522,89
523,26
524,120
525,90
526,61
527,125
528,57
529,78
530,111
531,22
532,20
533,72
534,44
535,62
536,69
537,80
538,74
539,82
540,55
541,45
542,52
543,53
544,48
545,114
546,97
547,24
548,94
549,67
550,45
551,47
552,86
553,82
554,69
555,66
556,74
557,26
558,48
559,66
560,99
561,95
562,73
563,115
564,40
565,80
566,45
567,103
568,50
569,72
570,85
571,52
572,48
573,89
574,23
575,31
576,76
577,75
578,54
579,86
580,53
581,77
582,76
583,50
584,7
585,36
586,39
587,7
588,32
589,80
590,97
591,21
592,16
593,114
594,66
595,80
596,26
597,44
598,70
599,113
600,99
601,67
602,50
603,45
604,32
605,26
606,110
607,83
608,94
609,30
610,69
611,74
612,88
613,86
614,54
615,65
616,71
617,71
618,20
619,43
620,19
621,43
622,19
623,22
624,101
625,60
626,64
627,108
628,94
629,44
630,30
631,25
632,46
633,59
634,38
635,54
636,31
637,41
638,45
639,91
640,20
641,77
642,82
643,110
644,45
645,29
646,126
647,50
648,118
649,48
650,94
651,97
652,78
653,73
654,47
655,33
656,120
657,37
658,22
659,25
660,98
661,15
662,88
663,48
664,97
665,94
666,53
667,77
668,54
669,85
670,62
671,93
672,98
673,120
674,56
675,49
676,126
677,92
678,39
679,104
680,25
681,100
682,87
683,110
684,53
685,36
686,46
687,18
688,38
689,48
690,116
691,74
692,29
693,97
694,29
695,54
696,22
697,97
698,83
699,26
700,42
701,52
702,55
703,110
704,10
705,38
706,53
707,38
708,75
709,129
710,61
711,136
712,50
713,72
714,39
715,91
716,83
717,88
718,45
719,63
720,32
721,56
722,72
723,20
724,55
725,16
726,16
727,60
728,63
729,86
730,47
731,103
732,27
733,107
734,108
735,129
736,59
737,61
738,83
739,69
740,63
741,22
742,43
743,53
744,46
745,103
746,144
747,131
748,21
749,47
750,77
751,29
752,90
753,20
754,48
755,65
756,77
757,48
758,66
759,50
760,39
761,84
762,49
763,40
764,54
765,41
766,58
767,100
768,109
769,23
770,99
771,46
772,63
773,100
774,115
775,91
776,27
777,29
778,13
779,48
780,64
781,23
782,147
783,61
784,96
785,128
786,55
787,46
788,89
789,33
790,53
791,18
792,30
793,44
794,46
795,108
796,39
797,64
798,43
799,59
800,119
801,75
802,69
803,65
804,13
805,73
806,74
807,52
808,59
809,42
810,57
811,78
812,21
813,54
814,35
815,43
816,83
817,129
818,48
819,44
820,40
821,24
822,49
823,38
824,31
825,66
826,87
827,60
828,43
829,120
830,126
831,47
832,59
833,74
834,62
835,53
836,83
837,48
838,66
839,64
840,59
841,41
842,77
843,129
844,92
845,118
846,35
847,59
848,29
849,57
850,69
851,45
852,31
853,84
854,45
855,62
856,42
857,48
858,131
859,92
860,78
861,57
862,90
863,66
864,67
865,72
866,98
867,77
868,120
869,11
870,30
871,51
872,113
873,84
874,29
875,44
876,61
877,32
878,46
879,88
880,73
881,70
882,38
883,37
884,42
885,35
886,44
887,117
888,40
889,77
890,131
891,122
892,42
893,81
894,54
895,57
896,63
897,79
898,70
899,38
900,62
901,18
902,81
903,88
904,64
905,51
906,105
907,35
908,44
909,111
910,66
911,82
912,112
913,106
914,113
915,50
916,117
917,115
918,8
919,25
920,41
921,63
922,118
923,56
924,26
925,55
926,33
927,91
928,86
929,101
930,96
931,23
932,33
933,44
934,39
935,86
936,43
937,9
938,79
939,27
940,51
941,108
942,43
943,112
944,70
945,28
946,85
947,52
948,56
949,75
950,38
951,104
952,54
953,22
954,19
955,59
956,30
957,61
958,35
959,23
960,94
961,60
962,19
963,93
964,50
965,85
966,17
967,20
968,117
969,117
970,51
971,88
972,73
973,139
974,103
975,48
976,75
977,74
978,33
979,62
980,36
981,12
982,76
983,62
984,38
985,41
986,82
987,94
988,88
989,10
990,25
991,68
992,17
993,51
994,36
995,19
996,42
997,83
998,68
999,44
1000,29
1001,36
1002,19
1003,105
1004,71
1005,59
1006,119
1007,90
1008,52
1009,48
1010,57
1011,42
1012,93
1013,65
1014,64
1015,38
1016,73
1017,99
1018,82
1019,40
1020,69
1021,34
1022,82
1023,57
1024,45
1025,10
1026,125
1027,147
1028,38
1029,35
1030,64
1031,49
1032,47
1033,60
1034,24
1035,56
1036,112
1037,51
1038,36
1039,39
1040,66
1041,30
1042,49
1043,59
1044,78
1045,95
1046,73
1047,32
1048,32
1049,58
1050,63
1051,19
1052,99
1053,76
1054,51
1055,37
1056,8
1057,48
1058,76
1059,57
1060,7
1061,9
1062,40
1063,10
1064,76
1065,111
1066,24
1067,34
1068,94
1069,50
1070,51
1071,137
1072,78
1073,74
1074,87
1075,49
1076,19
1077,32
1078,53
1079,65
1080,24
1081,16
1082,103
1083,57
1084,21
1085,109
1086,14
1087,44
1088,67
1089,81
1090,22
1091,38
1092,49
1093,45
1094,29
1095,82
1096,129
1097,53
1098,46
1099,122
1100,89
1101,40
1102,58
1103,118
1104,77
1105,23
1106,92
1107,22
1108,81
1109,84
1110,25
1111,43
1112,40
1113,33
1114,64
1115,13
1116,24
1117,44
1118,42
1119,23
1120,110
1121,66
1122,49
1123,42
1124,20
1125,52
1126,22
1127,38
1128,68
1129,25
1130,121
1131,71
1132,45
1133,95
1134,129
1135,44
1136,35
1137,125
1138,42
1139,58
1140,38
1141,95
1142,26
1143,68
1144,77
1145,122
1146,80
1147,42
1148,95
1149,51
1150,72
1151,75
1152,91
1153,137
1154,50
1155,113
1156,63
1157,47
1158,62
1159,23
1160,75
1161,73
1162,133
1163,50
1164,126
1165,8
1166,60
1167,67
1168,54
1169,88
1170,59
1171,12
1172,52
1173,26
1174,29
1175,55
1176,57
1177,54
1178,44
1179,94
1180,100
1181,77
1182,133
1183,32
1184,65
1185,37
1186,33
1187,53
1188,70
1189,68
1190,80
1191,86
1192,20
1193,104
1194,44
1195,40
1196,62
1197,68
1198,67
1199,99
1200,94
1201,42
1202,23
1203,27
1204,33
1205,60
1206,29
1207,33
1208,79
1209,148
1210,58
1211,44
1212,18
1213,8
1214,94
1215,59
1216,78
1217,98
1218,22
1219,87
1220,40
1221,32
1222,85
1223,64
1224,26
1225,96
1226,96
1227,82
1228,137
1229,97
1230,42
1231,55
1232,95
1233,140
1234,38
1235,67
1236,81
1237,32
1238,35
1239,19
1240,41
1241,44
1242,42
1243,101
1244,77
1245,125
1246,113
1247,103
1248,103
1249,81
1250,87
1251,58
1252,40
1253,55
1254,105
1255,60
