radius,order_count
5,11
10,36
15,82
20,137
25,197
30,251
35,317
40,393
45,462
50,531
55,615
60,690
65,784
70,852
75,910
80,942
85,968
90,984
95,995
100,996
105,997
110,998
115,998
120,1000
125,1000
130,1000
135,1000
140,1000
145,1000
150,1000
155,1000
160,1000
165,1000
170,1000
175,1000
180,1000
185,1000
190,1000
195,1000
200,1000
205,1000
210,1000
215,1000
220,1000
225,1000
230,1000
235,1000
240,1000
245,1000
250,1000
255,1000
260,1000
265,1000
270,1000
275,1000
280,1000
285,1000
290,1000
295,1000
